Beat(position=131, label=<Label.unknown: 10>)
Beat(position=354, label=<Label.sinus_rhythm: 0>)
Beat(position=568, label=<Label.sinus_rhythm: 0>)
Beat(position=789, label=<Label.sinus_rhythm: 0>)
Beat(position=1009, label=<Label.sinus_rhythm: 0>)
Beat(position=1221, label=<Label.sinus_rhythm: 0>)
Beat(position=1445, label=<Label.sinus_rhythm: 0>)
Beat(position=1672, label=<Label.sinus_rhythm: 0>)
Beat(position=1891, label=<Label.sinus_rhythm: 0>)
Beat(position=2121, label=<Label.sinus_rhythm: 0>)
Beat(position=2345, label=<Label.sinus_rhythm: 0>)
Beat(position=2561, label=<Label.sinus_rhythm: 0>)
Beat(position=2791, label=<Label.sinus_rhythm: 0>)
Beat(position=3020, label=<Label.sinus_rhythm: 0>)
Beat(position=3244, label=<Label.sinus_rhythm: 0>)
Beat(position=3474, label=<Label.sinus_rhythm: 0>)
Beat(position=3701, label=<Label.sinus_rhythm: 0>)
Beat(position=3918, label=<Label.sinus_rhythm: 0>)
Beat(position=4137, label=<Label.sinus_rhythm: 0>)
Beat(position=4352, label=<Label.sinus_rhythm: 0>)
Beat(position=4560, label=<Label.sinus_rhythm: 0>)
Beat(position=4772, label=<Label.sinus_rhythm: 0>)
Beat(position=4983, label=<Label.sinus_rhythm: 0>)
Beat(position=5188, label=<Label.sinus_rhythm: 0>)
Beat(position=5401, label=<Label.sinus_rhythm: 0>)
Beat(position=5621, label=<Label.sinus_rhythm: 0>)
Beat(position=5830, label=<Label.sinus_rhythm: 0>)
Beat(position=6045, label=<Label.sinus_rhythm: 0>)
Beat(position=6269, label=<Label.sinus_rhythm: 0>)
Beat(position=6496, label=<Label.sinus_rhythm: 0>)
Beat(position=6715, label=<Label.sinus_rhythm: 0>)
Beat(position=6940, label=<Label.sinus_rhythm: 0>)
Beat(position=7160, label=<Label.sinus_rhythm: 0>)
Beat(position=7370, label=<Label.sinus_rhythm: 0>)
Beat(position=7581, label=<Label.sinus_rhythm: 0>)
Beat(position=7794, label=<Label.sinus_rhythm: 0>)
