Beat(position=131, r_peak=128, label=<Label.未知: -1>)
Beat(position=354, r_peak=351, label=<Label.窦性心律: 0>)
Beat(position=568, r_peak=565, label=<Label.窦性心律: 0>)
Beat(position=789, r_peak=786, label=<Label.窦性心律: 0>)
Beat(position=1009, r_peak=1006, label=<Label.窦性心律: 0>)
Beat(position=1221, r_peak=1219, label=<Label.窦性心律: 0>)
Beat(position=1445, r_peak=1442, label=<Label.窦性心律: 0>)
Beat(position=1672, r_peak=1669, label=<Label.窦性心律: 0>)
Beat(position=1891, r_peak=1888, label=<Label.窦性心律: 0>)
Beat(position=2121, r_peak=2117, label=<Label.窦性心律: 0>)
Beat(position=2345, r_peak=2342, label=<Label.窦性心律: 0>)
Beat(position=2561, r_peak=2558, label=<Label.窦性心律: 0>)
Beat(position=2791, r_peak=2788, label=<Label.窦性心律: 0>)
Beat(position=3020, r_peak=3017, label=<Label.窦性心律: 0>)
Beat(position=3244, r_peak=3241, label=<Label.窦性心律: 0>)
Beat(position=3474, r_peak=3471, label=<Label.窦性心律: 0>)
Beat(position=3701, r_peak=3698, label=<Label.窦性心律: 0>)
Beat(position=3918, r_peak=3915, label=<Label.窦性心律: 0>)
Beat(position=4137, r_peak=4135, label=<Label.窦性心律: 0>)
Beat(position=4352, r_peak=4349, label=<Label.窦性心律: 0>)
Beat(position=4560, r_peak=4557, label=<Label.窦性心律: 0>)
Beat(position=4772, r_peak=4769, label=<Label.窦性心律: 0>)
Beat(position=4983, r_peak=4980, label=<Label.窦性心律: 0>)
Beat(position=5188, r_peak=5184, label=<Label.窦性心律: 0>)
Beat(position=5401, r_peak=5398, label=<Label.窦性心律: 0>)
Beat(position=5621, r_peak=5617, label=<Label.窦性心律: 0>)
Beat(position=5830, r_peak=5827, label=<Label.窦性心律: 0>)
Beat(position=6045, r_peak=6042, label=<Label.窦性心律: 0>)
Beat(position=6269, r_peak=6267, label=<Label.窦性心律: 0>)
Beat(position=6496, r_peak=6493, label=<Label.窦性心律: 0>)
Beat(position=6715, r_peak=6712, label=<Label.窦性心律: 0>)
Beat(position=6940, r_peak=6937, label=<Label.窦性心律: 0>)
Beat(position=7160, r_peak=7157, label=<Label.窦性心律: 0>)
Beat(position=7370, r_peak=7367, label=<Label.窦性心律: 0>)
Beat(position=7581, r_peak=7579, label=<Label.窦性心律: 0>)
Beat(position=7794, r_peak=7791, label=<Label.窦性心律: 0>)
Beat(position=8003, r_peak=8000, label=<Label.窦性心律: 0>)
Beat(position=8215, r_peak=8212, label=<Label.窦性心律: 0>)
Beat(position=8427, r_peak=8423, label=<Label.窦性心律: 0>)
Beat(position=8631, r_peak=8628, label=<Label.窦性心律: 0>)
Beat(position=8841, r_peak=8838, label=<Label.窦性心律: 0>)
Beat(position=9058, r_peak=9055, label=<Label.窦性心律: 0>)
Beat(position=9270, r_peak=9267, label=<Label.窦性心律: 0>)
Beat(position=9491, r_peak=9488, label=<Label.窦性心律: 0>)
